,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
1468,1064,St. Barthelemy,1878,2007,Part of,65.0
1472,1065,Curacao,1828,2010,Part of,68.0
1475,1066,Bonaire,1828,2010,Part of,68.0
1478,1067,Saba,1828,2010,Part of,1074.0
1482,1068,Sint Eustatius,1828,2010,Part of,1074.0
1485,1069,Aruba,1828,1986,Part of,68.0
1491,1071,Yucatan,1848,2020,Part of,70.0
1492,1072,Revillagigedo Is,1816,2020,Possession of,70.0
1494,1073,Sint Maarten,1828,2010,Part of,1074.0
1496,1074,Dutch Windward Is.,1828,2010,Part of,68.0
1499,1075,St.Kitts,1882,2020,Part of,60.0
1502,1076,Nevis,1882,2020,Part of,60.0
1503,1077,St. Martin,1816,2007,Part of,65.0
1507,1081,Mosquito Coast,1894,2020,Part of,93.0
1517,1082,Bay Is.,1860,2020,Part of,91.0
1522,1087,Swan Is.,1863,1972,Leased to,2.0
1527,1088,Corn Is.,1839,1916,Part of,93.0
1533,1094,Cocos I.,1832,2020,Possession of,94.0
1535,1097,Panama Canal Operating Area,1903,1979,Part of,96.0
1538,1101,Quita Sueno Bank,1869,1981,Claimed by,2.0
1543,1102,Roncador Cay,1856,1981,Claimed by,2.0
1547,1103,Serrana Bank,1856,1981,Claimed by,2.0
1552,1104,Serranilla Bank,1879,2020,Claimed by,2.0
1559,1105,San Andres and Providincial Is.,1819,1928,Claimed by,100.0
1560,1105,San Andres and Providincial Is.,1839,1928,Claimed by,93.0
1565,1106,Malpelo I.,1819,2020,Possession of,100.0
1570,1111,Aves I.,1895,2020,Possession of,101.0
1574,1113,Demerara and Essequibo,1831,2020,Part of,110.0
1576,1114,Berbice,1831,2020,Part of,110.0
1579,1150,Free Surinam,1816,2020,Part of,115.0
1582,1151,Easter I.,1888,1965,Colony of,155.0
1585,1152,Juan Fernandez I.,1888,1965,Possession of,155.0
1588,1153,Desventuradas Is. (San Felix and San Ambrosio),1888,1965,Possession of,155.0
1591,1154,Sala y Gomez,1888,1965,Possession of,155.0
