,GPH_code,QGIS_PlaceName,start_year,end_year,GPH_status,sovereign_GPH_code
266,840.0,Philippines,1898,1942.0,Colony of,2.0
267,850.0,Indonesia (Dutch East Indies),1816,1949.0,Colony of,210.0
268,851.0,West Irian (Dutch New Guinea),1828,1942.0,Part of,850.0
269,860.0,East Timor (Portuguese Timor),1816,1942.0,Colony of,235.0
270,900.0,Australia,1901,1919.0,Colony of,200.0
271,901.0,New South Wales,1901,2020.0,Part of,900.0
272,902.0,Western Australia,1901,2020.0,Part of,900.0
273,903.0,South Australia,1901,2020.0,Part of,900.0
274,904.0,Victoria,1901,2020.0,Part of,900.0
275,905.0,Queensland,1901,2020.0,Part of,900.0
276,906.0,Tasmania,1901,2020.0,Part of,900.0
277,911.0,Papua,1888,1920.0,Colony of,200.0
278,920.0,New Zealand,1840,1920.0,Colony of,200.0
279,925.0,Cook Is.,1901,1965.0,Colony of,920.0
280,930.0,New Caledonia and Dependencies,1853,1946.0,Colony of,220.0
281,935.0,Vanuatu (New Hebrides),1906,1980.0,Colony of,200.0
282,935.0,Vanuatu (New Hebrides),1906,1980.0,Colony of,220.0
283,940.0,Solomon Islands (British Solomon Islands Protectorate),1893,1978.0,Protectorate of,200.0
284,945.0,Gilbert and Ellice Is.,1892,1916.0,Protectorate of,200.0
285,946.0,Kiribati,1892,1975.0,Part of,945.0
286,947.0,Tuvalu,1892,1975.0,Part of,945.0
287,950.0,Fiji,1874,1970.0,Colony of,200.0
288,955.0,Tonga (Ha'apai),1900,1970.0,Protectorate of,200.0
289,960.0,French Polynesia,1903,2020.0,Colony of,220.0
290,984.0,Northern Marianas Is.,1898,1919.0,Part of,912.0
291,985.0,Guam,1898,1941.0,Colony of,2.0
292,986.0,Republic of Palau,1816,1947.0,Part of,9810.0
293,987.0,Federated States of Micronesia,1816,1947.0,Part of,9810.0
294,991.0,American Samoa,1900,2020.0,Colony of,2.0
295,1003.0,Attu and Kiska,1816,1942.0,Part of,3.0
296,1004.0,North Carolina,1865,2020.0,Part of,2.0
297,1005.0,Virginia,1865,2020.0,Part of,2.0
298,1006.0,Tennessee,1865,2020.0,Part of,2.0
299,1007.0,Arkansas,1865,2020.0,Part of,2.0
300,1008.0,Florida,1865,2020.0,Part of,2.0
301,1009.0,South Carolina (Palmetto Republic),1865,2020.0,Part of,2.0
302,1010.0,Georgia (U.S.),1865,2020.0,Part of,2.0
303,1011.0,Alabama,1865,2020.0,Part of,2.0
304,1012.0,Mississippi,1865,2020.0,Part of,2.0
305,1013.0,Louisiana,1865,2020.0,Part of,2.0
306,1014.0,California (Great Bear Republic),1846,2020.0,Part of,2.0
307,1015.0,Cherokee,1816,2020.0,Part of,2.0
308,1016.0,Oregon (Oregon Country),1848,2020.0,Part of,2.0
309,1019.0,Rupert's Land,1870,2020.0,Dissolved into,1035.0
310,1019.0,Rupert's Land,1870,2020.0,Dissolved into,1036.0
311,1019.0,Rupert's Land,1870,2020.0,Dissolved into,1037.0
312,1020.0,San Juan Island,1872,2020.0,Part of,2.0
313,1021.0,Cape Breton I.,1820,2020.0,Part of,1022.0
314,1022.0,Nova Scotia,1867,2020.0,Part of,20.0
315,1023.0,New Brunswick,1867,2020.0,Part of,20.0
316,1024.0,Prince Edward Is.,1873,2020.0,Part of,20.0
317,1025.0,Quebec (Lower Canada),1841,2020.0,Part of,20.0
318,1026.0,Ontario (Upper Canada),1841,2020.0,Part of,20.0
319,1027.0,British Columbia,1871,2020.0,Part of,20.0
320,1028.0,Vancouver,1866,2020.0,Part of,1027.0
321,1029.0,St. Pierre and Miquelon,1816,1985.0,Colony of,220.0
322,1031.0,Mayaguana,1816,1940.0,Part of,31.0
323,1032.0,Turks and Caicos Is.,1848,1962.0,Part of,51.0
324,1033.0,Cayman Is.,1816,1962.0,Part of,51.0
325,1035.0,Manitoba,1870,2020.0,Part of,20.0
326,1036.0,Alberta,1870,2020.0,Part of,20.0
327,1037.0,Saskatchewan,1870,2020.0,Part of,20.0
328,1038.0,Labrador,1816,1927.0,Part of,21.0
329,1038.0,Labrador,1816,1927.0,Claimed by,20.0
330,1040.0,Guantanamo,1903,2020.0,Leased to,2.0
331,1041.0,North Haiti,1820,2020.0,Part of,41.0
332,1044.0,Navassa I.,1874,2020.0,Claimed by,41.0
333,1044.0,Navassa I.,1903,2020.0,Dependency of,2.0
334,1049.0,Tobago,1889,2020.0,Part of,52.0
335,1055.0,Windward Is.,1833,1960.0,Colony of,200.0
336,1056.0,Gros Islet Bay,1816,1940.0,Part of,56.0
337,1058.0,Barbuda,1860,2020.0,Part of,58.0
338,1061.0,British Virgin Is.,1833,1956.0,Part of,1063.0
339,1062.0,Anguilla,1882,1969.0,Part of,60.0
340,1063.0,Leeward Is.,1833,1956.0,Colony of,200.0
341,1064.0,St. Barthelemy,1878,2007.0,Part of,65.0
342,1065.0,Curacao,1828,2010.0,Part of,68.0
343,1066.0,Bonaire,1828,2010.0,Part of,68.0
344,1067.0,Saba,1828,2010.0,Part of,1074.0
345,1068.0,Sint Eustatius,1828,2010.0,Part of,1074.0
346,1069.0,Aruba,1828,1986.0,Part of,68.0
347,1071.0,Yucatan,1848,2020.0,Part of,70.0
348,1072.0,Revillagigedo Is,1816,2020.0,Possession of,70.0
349,1073.0,Sint Maarten,1828,2010.0,Part of,1074.0
350,1074.0,Dutch Windward Is.,1828,2010.0,Part of,68.0
351,1075.0,St.Kitts,1882,2020.0,Part of,60.0
352,1076.0,Nevis,1882,2020.0,Part of,60.0
353,1077.0,St. Martin,1816,2007.0,Part of,65.0
354,1081.0,Mosquito Coast,1894,2020.0,Part of,93.0
355,1082.0,Bay Is.,1860,2020.0,Part of,91.0
356,1087.0,Swan Is.,1863,1972.0,Leased to,2.0
357,1088.0,Corn Is.,1839,1916.0,Part of,93.0
358,1094.0,Cocos I.,1832,2020.0,Possession of,94.0
359,1097.0,Panama Canal Operating Area,1903,1979.0,Part of,96.0
360,1101.0,Quita Sueno Bank,1869,1981.0,Claimed by,2.0
361,1102.0,Roncador Cay,1856,1981.0,Claimed by,2.0
362,1103.0,Serrana Bank,1856,1981.0,Claimed by,2.0
363,1104.0,Serranilla Bank,1879,2020.0,Claimed by,2.0
364,1105.0,San Andres and Providincial Is.,1819,1928.0,Claimed by,100.0
365,1105.0,San Andres and Providincial Is.,1839,1928.0,Claimed by,93.0
366,1106.0,Malpelo I.,1819,2020.0,Possession of,100.0
367,1111.0,Aves I.,1895,2020.0,Possession of,101.0
368,1113.0,Demerara and Essequibo,1831,2020.0,Part of,110.0
369,1114.0,Berbice,1831,2020.0,Part of,110.0
370,1150.0,Free Surinam,1816,2020.0,Part of,115.0
371,1151.0,Easter I.,1888,1965.0,Colony of,155.0
372,1152.0,Juan Fernandez I.,1888,1965.0,Possession of,155.0
373,1153.0,Desventuradas Is. (San Felix and San Ambrosio),1888,1965.0,Possession of,155.0
374,1154.0,Sala y Gomez,1888,1965.0,Possession of,155.0
375,1156.0,Araucania,1884,2020.0,Part of,155.0
376,1161.0,Buenos Aires,1861,2020.0,Part of,160.0
377,1162.0,Cordoba,1816,2020.0,Part of,160.0
378,1163.0,Falkland Is.,1833,2020.0,Colony of,200.0
379,1164.0,South Georgia,1843,1985.0,Part of,1163.0
380,1166.0,San Juan,1821,2020.0,Part of,160.0
381,1167.0,Corrientes,1820,2020.0,Part of,160.0
382,1168.0,Martin Garcia I.,1859,2020.0,Part of,160.0
383,1201.0,Inini,1816,1930.0,Part of,120.0
384,1301.0,Galapagos Is.,1832,2020.0,Part of,130.0
385,1352.0,Chincha Is.,1865,2020.0,Part of,135.0
386,1401.0,Rio Grande do Sul,1835,2020.0,Part of,140.0
387,1407.0,Acre,1903,2020.0,Part of,140.0
388,1408.0,St. Paul's Rocks,1816,1942.0,Discovered,
389,1409.0,Trindade Island,1895,2020.0,Possession of,140.0
390,2001.0,Rockall I.,1816,1955.0,Discovered,
391,2002.0,Lundy,1816,2020.0,Part of,200.0
392,2201.0,Alsace Lorraine,1871,1918.0,Part of,255.0
393,2221.0,Roquebrune and Menton,1860,2020.0,Part of,220.0
394,2246.0,Lauenburg,1867,1945.0,Part of,255.0
395,2247.0,Schleswig,1867,2020.0,Part of,2555.0
396,2248.0,Holstein,1867,2020.0,Part of,2555.0
397,2249.0,Heligoland,1890,1945.0,Part of,255.0
398,2251.0,Neuchatel,1816,2020.0,Part of,225.0
399,2292.0,Cracow,1867,1918.0,Part of,300.0
400,2311.0,Spain-Gibraltar Neutral Zone,1909,2020.0,Neutral or demilitarized zone of,230.0
401,2311.0,Spain-Gibraltar Neutral Zone,1909,2020.0,Neutral or demilitarized zone of,200.0
402,2333.0,Ile des Faisans,1816,2020.0,Neutral or demilitarized zone of,220.0
403,2333.0,Ile des Faisans,1816,2020.0,Neutral or demilitarized zone of,230.0
404,2481.0,Bergedorf,1867,1945.0,Part of,255.0
405,2482.0,Schleswig Plebiscite Zone,1867,1920.0,Part of,2555.0
406,2551.0,Allenstein Plebiscite Zone,1871,1920.0,Part of,255.0
407,2552.0,Marienwerder Plebiscite Zone,1871,1920.0,Part of,255.0
408,2553.0,Silesia Plebiscite Zone,1871,1921.0,Part of,255.0
409,2554.0,Brandenburg,1816,1947.0,Part of,239.0
410,2555.0,Schleswig-Holstein,1867,1945.0,Part of,239.0
411,2556.0,Rhineland,1871,1919.0,Part of,255.0
412,2557.0,Ruhr,1871,1923.0,Part of,255.0
