,GPH_code,NAME_x,continent,wikidata,wikidata_alt1,wikidata_alt2,wikidata_alt3,notes,NAME_y,start_year,end_year,GPH_status,sovereign&dependency_GPH_code,Dependency_GPH_code
174,6021,Southern zone of Spanish Morocco,Africa,http://www.wikidata.org/entity/Q1538846,,,,,Spanish  Morocco,1912.0,1956.0,Part of,602.0,
175,6064,Melilla,Africa,http://www.wikidata.org/entity/Q5831,,,,,Rio De Oro,1913.0,1956.0,Part of,602.0,
176,6203,Tripolitania,Africa,http://www.wikidata.org/entity/Q192435,,,,,Tripoli,1912.0,1919.0,Part of,620.0,
177,9001,Christmas I.,Oceania,http://www.wikidata.org/entity/Q31063,,,,,Christmas Island,1889.0,1942.0,Part of,827.0,
178,9002,Cocos (Keeling) Is.,Oceania,http://www.wikidata.org/entity/Q36004,,,,,Cocos Islands,1882.0,1942.0,Part of,9002.0,9002.0
179,9004,Norfolk I.,Oceania,http://www.wikidata.org/entity/Q31057,,,,,Norfolk Island,1816.0,1920.0,Colony of,200.0,
180,9005,Heard and McDonald Is.,Oceania,http://www.wikidata.org/entity/Q131198,,,,,Heard Island and McDonald Islands,1853.0,1947.0,Possession of,200.0,
181,9201,Tokelau Is.,Oceania,http://www.wikidata.org/entity/Q36823,,,,,Tokelau,1877.0,1916.0,Protectorate of,200.0,
182,9253,Niue I.,Oceania,http://www.wikidata.org/entity/Q34020,,,,,Niue,1904.0,1974.0,Colony of,920.0,
183,9321,Wallis and Futuna Is.,Oceania,http://www.wikidata.org/entity/Q35555,,,,,Wallis and Futuna,1887.0,1961.0,Part of,930.0,
184,9466,Caroline I.,Oceania,http://www.wikidata.org/entity/Q822151,,,,,Caroline Islands,1868.0,1979.0,Claimed by,200.0,
185,9603,Tuamotu Is.,Oceania,http://www.wikidata.org/entity/Q183963,,,,,Tuamotu Archipelago,1903.0,2020.0,Part of,960.0,
186,9620,Pitcairn Is.,Oceania,http://www.wikidata.org/entity/Q35672,,,,,Pitcairn,1839.0,2020.0,Colony of,200.0,
187,9720,Wake I.,Oceania,http://www.wikidata.org/entity/Q43296,,,,,Wake Island,1898.0,1941.0,Colony of,2.0,
188,9730,Midway Is.,Oceania,http://www.wikidata.org/entity/Q47863,,,,,Midway Islands,1859.0,2020.0,Dependency of,2.0,
189,9771,Baker I.,Oceania,http://www.wikidata.org/entity/Q46879,,,,,Baker Island,1886.0,1935.0,Claimed by,200.0,
190,9772,Jarvis I.,Oceania,http://www.wikidata.org/entity/Q62218,,,,,Jarvis Island,1889.0,1935.0,Claimed by,200.0,
191,9984,South Sandwich Is.,Oceania,http://www.wikidata.org/entity/Q118223,,,,,South Georgia and South Sandwich Islands,1908.0,1985.0,Part of,1163.0,
192,9993,Bouvet I.,Oceania,http://www.wikidata.org/entity/Q23408,,,,,Bouvet Island,1816.0,1927.0,Discovered,9993.0,9993.0
